"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"24","P. tajacu","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + (walk * cam)",-7.83962661632677,15,112,50.6792532326535,"pa ~ bsq + dcom | muestreo + (walk * cam)",-5.11202238642996,8,112,27.6221030252871,23.0571502073664
"25","T. major","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk + cam",-12.6263074980092,13,112,54.9669007103042,"pa ~ bsq + dbsq | walk + cam",-17.187321624399,6,112,47.1746432487979,7.79225746150622
"26","T. pecari","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk + cam",-3.29584009907141,13,112,36.3059659124285,NA,NA,NA,NA,NA,NA
"27","T. terrestris","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + walk + cam",-19.3293415089149,14,112,70.9885799250464,"pa ~ bsq + dcon + dcom + frs + dbsq | muestreo + walk + cam",-16.9949580150961,10,112,56.1681338519743,14.8204460730721
"28","T. tetradactyla","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + (walk * cam)",-7.1841774868413,15,112,49.3683549736826,"pa ~ bsq + dcom + frs | muestreo + (walk * cam)",-7.09893054559699,9,112,33.9625669735469,15.4057880001357
"29","C. alector","camera + observations","Warapata","pa ~ bloque | walk + cam",-2.71001082155558,9,72,26.3232474495628,NA,NA,NA,NA,NA,NA
"30","C. olivaceus","camera + observations","Warapata","pa ~ bloque | walk + cam",-2.77557195551633,9,72,26.4543697174843,"pa ~ bsq + frs | walk + cam",-3.01448437501272,6,72,19.3212764423331,7.13309327515114
"31","C. paca","camera + observations","Warapata","pa ~ bloque | walk * cam",-28.5008588993013,10,72,80.6082751756519,"pa ~ bsq + dcon | walk * cam",-24.2344069148346,7,72,64.2188138296692,16.3894613459827
"32","C. thous","camera + observations","Warapata","pa ~ bloque | walk + cam",-37.1968905701956,9,72,95.2970069468429,"pa ~ bsq + dcon + dcom + frs | walk + cam",-28.2169431069972,8,72,74.7196004997088,20.5774064471341
"33","C. unicinctus","camera + observations","Warapata","pa ~ bloque | walk * cam",-5.00438536885136,10,72,33.6153281147519,NA,NA,NA,NA,NA,NA
"34","D. imperfecta","camera + observations","Warapata","pa ~ bloque | walk * cam",-9.29485230765156,10,72,42.1962619923523,"pa ~ bsq + frs | walk * cam",-10.6225217794864,7,72,36.9950435589728,5.20121843337954
